identifier,abstract 1,abstract 2,abstract 3,subject_topical 1,subject_topical 2,type,date_text,date_single,date_qualifier,title,rights,repository,name,publisher,object_in_context,file_url,record_creation_date
fbpro_2014bowlguide,2014 Bowl Guide - UT vs Iowa (Taxslayer Bowl),"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2015-01-02,2015-01-02,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"Knoxville, Tenn. : The University of Tennessee",http://diglib.lib.utk.edu/fbpro/main.php?bid=785,http://diglib.lib.utk.edu/fbpro/data/2014bowlguide/fbpro_2014bowlguide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2012-10-20,2012 Football Program - UT vs Alabama ,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2012-10-20,2012-10-20,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=709,http://diglib.lib.utk.edu/fbpro/data/2012-10-20/fbpro_2012-10-20_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2007-03-31spring,2007 Football Spring Outlook,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2007-03-31,2007-03-31,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=668,http://diglib.lib.utk.edu/fbpro/data/2007-03-31spring/fbpro_2007-03-31spring_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1971-01-01,1970 Football Bowl Guide - UT vs Air Force (Sugar Bowl),"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ","Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1971-01-01,1971-01-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=367,http://diglib.lib.utk.edu/fbpro/data/1971-01-01/fbpro_1971-01-01_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1951-12-01,1951 Football Program - UT vs Vanderbilt,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1951-12-01,1951-12-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=477,http://diglib.lib.utk.edu/fbpro/data/1951-12-01/fbpro_1951-12-01_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1969-11-08,1969 Football Program - UT vs South Carolina,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1969-11-08,1969-11-08,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=312,http://diglib.lib.utk.edu/fbpro/data/1969-11-08/fbpro_1969-11-08_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1988-01-02,1987 Football Program - UT vs Indiana (Peach Bowl),"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ","Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1988-01-02,1988-01-02,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=200,http://diglib.lib.utk.edu/fbpro/data/1988-01-02/fbpro_1988-01-02_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1933-12-09,1933 Football Program - UT vs LSU,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1933-12-09,1933-12-09,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=628,http://diglib.lib.utk.edu/fbpro/data/1933-12-09/fbpro_1933-12-09_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2013-11-09guide,2013 Football Gameday Guide - UT vs Auburn,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2013-11-09,2013-11-09,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=778,http://diglib.lib.utk.edu/fbpro/data/2013-11-09guide/fbpro_2013-11-09guide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2007-09-01guide,2007 Football Guide,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2007-09-01,2007-09-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=119,http://diglib.lib.utk.edu/fbpro/data/2007-09-01guide/fbpro_2007-09-01guide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1945-11-03,1945 Football Program - UT vs North Carolina,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1945-11-03,1945-11-03,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=527,http://diglib.lib.utk.edu/fbpro/data/1945-11-03/fbpro_1945-11-03_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2011-09-01guide,2011 Football Guide,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2011-09-01,2011-09-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=723,http://diglib.lib.utk.edu/fbpro/data/2011-09-01guide/fbpro_2011-09-01guide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2004-01-01,2003 Football Program - UT vs Clemson (Peach Bowl),"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2004-01-02,2004-01-02,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=93,http://diglib.lib.utk.edu/fbpro/data/2004-01-01/fbpro_2004-01-01_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1955-10-22,1955 Football Program - UT vs Dayton,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1955-10-22,1955-10-22,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=449,http://diglib.lib.utk.edu/fbpro/data/1955-10-22/fbpro_1955-10-22_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2005-09-01guide,2005 Football Guide,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2005-09-01,2005-09-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=101,http://diglib.lib.utk.edu/fbpro/data/2005-09-01guide/fbpro_2005-09-01guide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1992-10-10,1992 Football Program - UT vs Arkansas,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1992-10-10,1992-10-10,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=14,http://diglib.lib.utk.edu/fbpro/data/1992-10-10/fbpro_1992-10-10_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2011-11-19yearbook,2011 Football Yearbook - UT vs Vanderbilt,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2011-11-19,2011-11-19,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=732,http://diglib.lib.utk.edu/fbpro/data/2011-11-19yearbook/fbpro_2011-11-19yearbook_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1945-01-01,1944 Football Program - UT vs Southern California (Rose Bowl),"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1945-01-01,1945-01-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=522,http://diglib.lib.utk.edu/fbpro/data/1945-01-01/fbpro_1945-01-01_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1945-10-13,1945 Football Program - UT vs UT-Chattanooga,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1945-10-13,1945-10-13,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=525,http://diglib.lib.utk.edu/fbpro/data/1945-10-13/fbpro_1945-10-13_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1951-10-27,1951 Football Program - UT vs Tennessee Tech,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1951-10-27,1951-10-27,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=475,http://diglib.lib.utk.edu/fbpro/data/1951-10-27/fbpro_1951-10-27_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1989-09-30,1989 Football Program - UT vs Auburn,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1989-09-30,1989-09-30,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=159,http://diglib.lib.utk.edu/fbpro/data/1989-09-30/fbpro_1989-09-30_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1980-11-01,1980 Football Program - UT vs Virginia,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ","Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1980-11-01,1980-11-01,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=190,http://diglib.lib.utk.edu/fbpro/data/1980-11-01/fbpro_1980-11-01_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1957-11-09,1957 Football Program - UT vs Georgia Tech,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1957-11-09,1957-11-09,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=419,http://diglib.lib.utk.edu/fbpro/data/1957-11-09/fbpro_1957-11-09_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1978-11-11pressguide,1978 Football Press Guide - UT vs Notre Dame ,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1978-11-11,1978-11-11,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=663,http://diglib.lib.utk.edu/fbpro/data/1978-11-11pressguide/fbpro_1978-11-11pressguide_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_2010-09-18,2010 Football Program - UT vs Florida,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",,University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,2010-09-18,2010-09-18,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=263,http://diglib.lib.utk.edu/fbpro/data/2010-09-18/fbpro_2010-09-18_001.jpg.t.jpg,2015-01-08T00:36:36Z
fbpro_1961-09-30,1961 Football Program - UT vs Auburn,"Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ","Issued for The University of Tennessee, Knoxville Football Programs for all home and special bowl games. Each piece is issued as a program guide for the game. ",University of Tennessee (Knoxville campus) -- Football -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1904.",text,1961-09-30,1961-09-30,,"The University of Tennessee, Knoxville Football Programs.","The copyright interests in this collection 
remain with the creator. For more information, contact Special Collections at special@utk.edu.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (campus).,"The University of Tennessee Libraries, Knoxville",http://diglib.lib.utk.edu/fbpro/main.php?bid=392,http://diglib.lib.utk.edu/fbpro/data/1961-09-30/fbpro_1961-09-30_001.jpg.t.jpg,2015-01-08T00:36:36Z
